"NUM_ELE","VALIDITE","NUM_GRP","SESSIONS","POIDS_RELATIF","LIEN_OBLIG","NUM_ORDRE","VALIDITE_GRP","NIVEAU","TYPE_LIEN","COMMENTAIRE_ANGL"
"117330","2012","38261","1","5","0","11","2012","","",""
"117334","2012","26927","2","5","1","5","2012","","",""
"117334","2012","26954","1","5","1","2","2012","","",""
"117334","2012","26962","2","5","1","1","2012","","",""
"117334","2012","26968","2","5","1","4","2012","","",""
"117334","2012","27160","1","5","1","3","2012","","",""
"117336","2012","26920","1","5","1","1","2012","","",""
"117336","2012","26929","1","5","1","4","2012","","",""
"117336","2012","38258","2","5","1","2","2012","","",""
"117336","2012","38259","2","5","1","3","2012","","",""
"117338","2012","2172","1","5","0","11","2012","","",""
"117338","2012","3696","2","5","0","7","2012","","",""
"117338","2012","3712","1","5","0","13","2012","","",""
"117338","2012","3722","2","5","0","6","2012","","",""
"117338","2012","6260","1","5","0","8","2012","","",""
"117338","2012","6263","1","6","0","10","2012","","",""
"117338","2012","6265","2","5","0","9","2012","","",""
"117338","2012","26930","1","5","0","3","2012","","",""
"117338","2012","27776","2","5","0","1","2012","","",""
"117338","2012","32201","2","4","0","12","2012","","",""
"117338","2012","33078","1","5","0","5","2012","","",""
"117338","2012","37923","1","5","0","2","2012","","",""
"117338","2012","38238","2","5","0","4","2012","","",""
"192056","2012","29745","2","3","0","1","2012","1","",""
"192056","2012","29746","1","3","0","2","2012","1","",""
"192058","2012","191088","","4","0","2","2012","3","",""
"192058","2012","191090","","4","0","3","2012","3","",""
"192058","2012","191092","","4","0","4","2012","3","",""
"192058","2012","191094","","4","0","5","2012","3","",""
"192058","2012","191096","","4","0","6","2012","3","",""
"192058","2012","191098","","4","0","7","2012","3","",""
"192058","2012","191248","","4","0","1","2012","3","",""
"202986","2012","200540","","5","1","1","2012","","",""
"202996","2012","200540","","5","1","1","2012","","",""
"204524","2012","2795","","4","1","5","2012","23","",""
"204524","2012","32178","","4","1","6","2012","23","",""
"204524","2012","32197","","4","1","7","2012","23","",""
"204524","2012","32246","","4","1","8","2012","23","",""
"204524","2012","72008","","5","1","4","2012","23","",""
"204524","2012","72022","","5","1","3","2012","","",""
"204524","2012","73520","","0","1","9","2012","","",""
"206820","2012","54833","","10","1","1","2012","2","",""
"206820","2012","206824","","30","1","2","2012","3","",""
"210902","2012","72022","","5","1","1","2012","23","",""
"210902","2012","81324","","0","1","2","2012","","",""
"214060","2012","200554","","4","0","3","2012","","",""
"214060","2012","214062","","0","1","1","2012","","",""
"214060","2012","214070","","0","1","2","2012","","",""
"214062","2012","214064","","0","1","1","2012","","",""
"214062","2012","214066","","0","1","2","2012","","",""
"214062","2012","214068","","0","1","3","2012","","",""
"214064","2012","32173","","5","1","1","2012","23","",""
"214064","2012","32174","","5","1","2","2012","23","",""
"214066","2012","32171","","5","1","2","2012","23","",""
"214068","2012","71966","","6","1","1","2012","23","",""
"214070","2012","30540","","4","0","10","2012","23","",""
"214070","2012","32166","","5","0","7","2012","23","",""
"214070","2012","32167","","5","0","9","2012","23","",""
"214070","2012","32170","","5","0","6","2012","23","",""
"214070","2012","32251","","5","0","3","2012","23","",""
"214070","2012","32259","","5","0","12","2012","23","",""
"214070","2012","72006","","5","0","14","2012","23","",""
"214070","2012","72008","","5","0","15","2012","23","",""
"214070","2012","72012","","5","0","13","2012","23","",""
"214072","2012","200554","","4","0","3","2012","","",""
"214072","2012","214074","","0","1","1","2012","","",""
"214072","2012","214082","","0","1","2","2012","","",""
"214074","2012","214076","","0","1","1","2012","","",""
"214074","2012","214078","","0","1","2","2012","","",""
"214074","2012","214080","","0","1","3","2012","","",""
"214076","2012","32173","","5","1","1","2012","23","",""
"214076","2012","32174","","5","1","2","2012","23","",""
"214078","2012","32171","","5","1","2","2012","23","",""
"214080","2012","71966","","6","1","1","2012","23","",""
"214082","2012","30540","","4","0","10","2012","23","",""
"214082","2012","32166","","5","0","7","2012","23","",""
"214082","2012","32167","","5","0","9","2012","23","",""
"214082","2012","32170","","5","0","6","2012","23","",""
"214082","2012","32251","","5","0","3","2012","23","",""
"214082","2012","32259","","5","0","12","2012","23","",""
"214082","2012","72006","","5","0","14","2012","23","",""
"214082","2012","72008","","5","0","15","2012","23","",""
"214082","2012","72012","","5","0","13","2012","23","",""
"214084","2012","200562","","5","0","4","2012","","",""
"214084","2012","200570","","5","0","5","2012","","",""
"214084","2012","208780","","5","0","3","2012","","",""
"214084","2012","214086","","0","1","1","2012","","",""
"214084","2012","214090","","0","1","2","2012","","",""
"214086","2012","32772","","5","1","4","2012","23","",""
"214086","2012","214088","","0","1","5","2012","","",""
"214088","2012","30505","","5","0","3","2012","23","",""
"214088","2012","30507","","5","0","2","2012","23","",""
"214088","2012","71960","","5","0","1","2012","23","",""
"214090","2012","32178","","4","1","1","2012","23","",""
"214090","2012","32197","","4","1","2","2012","23","",""
"214090","2012","32230","","4","1","4","2012","23","",""
"214090","2012","32246","","4","1","3","2012","23","",""
"214090","2012","72010","","4","1","5","2012","23","",""
"214092","2012","200562","","5","0","5","2012","","",""
"214092","2012","200570","","5","0","4","2012","","",""
"214092","2012","208780","","5","0","3","2012","","",""
"214092","2012","214094","","0","1","1","2012","","",""
"214092","2012","214098","","0","1","2","2012","","",""
"214094","2012","32772","","5","1","4","2012","23","",""
"214094","2012","214096","","0","1","5","2012","","",""
"214096","2012","30505","","5","0","3","2012","23","",""
"214096","2012","30507","","5","0","2","2012","23","",""
"214096","2012","71960","","5","0","1","2012","23","",""
"214098","2012","32178","","4","1","1","2012","23","",""
"214098","2012","32197","","4","1","2","2012","23","",""
"214098","2012","32230","","4","1","4","2012","23","",""
"214098","2012","32246","","4","1","3","2012","23","",""
"214098","2012","72010","","4","1","5","2012","23","",""
